parent,smiles_alkyl,inchikey,inchikey_short,id,smiles_aryl,smiles,reaction_smarts
IOSVXGVYNXMUBB-UHFFFAOYNA-N,[H]c1c([H])c([H])c(C(C(=O)Cl)(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])Br)c([H])c1[H],HQIWDIWKHUZFKQ-UHFFFAOYNA-N,IOSVXGVYNXMUBB,core10,BrC1=CC=C(N2C=NC=C2)C=C1OC,COc1cc(-n2ccnc2)ccc1CC(C(=O)Cl)(c1ccccc1)c1ccccc1,O=C(Cl)C(CBr)(c1ccccc1)c1ccccc1.COc1cc(-n2ccnc2)ccc1Br>>COc1cc(-n2ccnc2)ccc1CC(C(=O)Cl)(c1ccccc1)c1ccccc1
JHRHDTGWGMFEKD-UHFFFAOYNA-N,[H]c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])Br,KMJWKGZYWNKMQA-UHFFFAOYNA-N,JHRHDTGWGMFEKD,core10,BrC1=CC=C(N2C=NC=C2)C=C1OC,COc1cc(-n2ccnc2)ccc1CCCCCCOc1ccc(C(C)(C)C)cc1,CC(C)(C)c1ccc(OCCCCCCBr)cc1.COc1cc(-n2ccnc2)ccc1Br>>COc1cc(-n2ccnc2)ccc1CCCCCCOc1ccc(C(C)(C)C)cc1
JLKLAWVKJNTSAB-UHFFFAOYNA-N,[H]c1c([H])c([H])c(C([H])([H])Oc2c([H])c(C([H])([H])Br)c([H])c([H])c2OC([H])([H])[H])c([H])c1[H],WYASEZWACLJRQQ-UHFFFAOYNA-N,JLKLAWVKJNTSAB,core10,BrC1=CC=C(N2C=NC=C2)C=C1OC,COc1cc(-n2ccnc2)ccc1Cc1ccc(OC)c(OCc2ccccc2)c1,COc1ccc(CBr)cc1OCc1ccccc1.COc1cc(-n2ccnc2)ccc1Br>>COc1cc(-n2ccnc2)ccc1Cc1ccc(OC)c(OCc2ccccc2)c1
JURYFRQHXNQEHV-UHFFFAOYNA-N,[H]c1c([H])c(-c2c([H])c([H])c(C(=O)OC([H])([H])[H])c([H])c2[H])c([H])c(C([H])([H])Br)c1[H],SJVZKDBDNBBIQF-UHFFFAOYNA-N,JURYFRQHXNQEHV,core10,BrC1=CC=C(N2C=NC=C2)C=C1OC,COC(=O)c1ccc(-c2cccc(Cc3ccc(-n4ccnc4)cc3OC)c2)cc1,COC(=O)c1ccc(-c2cccc(CBr)c2)cc1.COc1cc(-n2ccnc2)ccc1Br>>COC(=O)c1ccc(-c2cccc(Cc3ccc(-n4ccnc4)cc3OC)c2)cc1
JVTVKJUQXSWMPT-HCKMINDGNA-N,[H]c1c([H])c(N([H])C(=O)[C@@]([H])(Br)C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C(F)(F)F)c1[H],FEOQHYMELBXMOT-JDOSLRAWNA-N,JVTVKJUQXSWMPT,core10,BrC1=CC=C(N2C=NC=C2)C=C1OC,COc1cc(-n2ccnc2)ccc1[C@H](C(=O)Nc1cccc(C(F)(F)F)c1)C(C)C,CC(C)[C@H](Br)C(=O)Nc1cccc(C(F)(F)F)c1.COc1cc(-n2ccnc2)ccc1Br>>COc1cc(-n2ccnc2)ccc1[C@H](C(=O)Nc1cccc(C(F)(F)F)c1)C(C)C
KAOWWFUGRAZJFT-UHFFFAOYNA-N,[H]c1c([H])c([H])c(C([H])([H])Br)c(-c2c([H])c([H])c(C(=O)OC([H])([H])[H])c([H])c2[H])c1[H],SDFIWCYGLOZEKY-UHFFFAOYNA-N,KAOWWFUGRAZJFT,core10,BrC1=CC=C(N2C=NC=C2)C=C1OC,COC(=O)c1ccc(-c2ccccc2Cc2ccc(-n3ccnc3)cc2OC)cc1,COC(=O)c1ccc(-c2ccccc2CBr)cc1.COc1cc(-n2ccnc2)ccc1Br>>COC(=O)c1ccc(-c2ccccc2Cc2ccc(-n3ccnc3)cc2OC)cc1
KFZRHPJUTGVIAT-UHFFFAOYNA-N,[H]c1c([H])c(C([H])([H])[C@]([H])(Br)C(=O)C([H])([H])C([H])([H])[H])c(C(F)(F)F)c([H])c1Cl,HPEAKDWMPQGOIO-GOSISDBHNA-N,KFZRHPJUTGVIAT,core10,BrC1=CC=C(N2C=NC=C2)C=C1OC,CCC(=O)[C@H](Cc1ccc(Cl)cc1C(F)(F)F)c1ccc(-n2ccnc2)cc1OC,CCC(=O)[C@@H](Br)Cc1ccc(Cl)cc1C(F)(F)F.COc1cc(-n2ccnc2)ccc1Br>>CCC(=O)[C@H](Cc1ccc(Cl)cc1C(F)(F)F)c1ccc(-n2ccnc2)cc1OC
LOERYTVWGCNDQL-UHFFFAOYNA-N,[H]c1c([H])c2c(c([H])c1C([H])([H])Br)C([H])([H])N(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C2([H])[H],GWMNRTZFHNTHCO-UHFFFAOYNA-N,LOERYTVWGCNDQL,core10,BrC1=CC=C(N2C=NC=C2)C=C1OC,COc1cc(-n2ccnc2)ccc1Cc1ccc2c(c1)CN(C(=O)OC(C)(C)C)C2,CC(C)(C)OC(=O)N1Cc2ccc(CBr)cc2C1.COc1cc(-n2ccnc2)ccc1Br>>COc1cc(-n2ccnc2)ccc1Cc1ccc2c(c1)CN(C(=O)OC(C)(C)C)C2
LRQFEHKKEOQOPY-FGEFZZPRNA-N,[H]/C(=C(/[H])[C@]1([H])N(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])OC1([H])[H])C([H])([H])Br,OZQPHJOVNVWVBF-XSBJJCPUNA-N,LRQFEHKKEOQOPY,core10,BrC1=CC=C(N2C=NC=C2)C=C1OC,COc1cc(-n2ccnc2)ccc1C/C=C/[C@H]1COC(C)(C)N1C(=O)OC(C)(C)C,CC(C)(C)OC(=O)N1[C@@H](/C=C/CBr)COC1(C)C.COc1cc(-n2ccnc2)ccc1Br>>COc1cc(-n2ccnc2)ccc1C/C=C/[C@H]1COC(C)(C)N1C(=O)OC(C)(C)C
LVLBRKWIJOFEHS-UHFFFAOYNA-N,[H]OC(c1c([H])c([H])c(C([H])([H])Br)c([H])c1[H])(C(F)(F)F)C(F)(F)F,MSCJXJBYDSKBBU-UHFFFAOYNA-N,LVLBRKWIJOFEHS,core10,BrC1=CC=C(N2C=NC=C2)C=C1OC,COc1cc(-n2ccnc2)ccc1Cc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,OC(c1ccc(CBr)cc1)(C(F)(F)F)C(F)(F)F.COc1cc(-n2ccnc2)ccc1Br>>COc1cc(-n2ccnc2)ccc1Cc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1
