parent,tm_freeh_HOMO(eV),tm_freeh_LUMO(eV),tm_freeh_HLgap(eV),smiles,inchikey,mol,inchikey_short,parent_alk,tm_freeh_HOMO(eV)_alk,tm_freeh_LUMO(eV)_alk,tm_freeh_HLgap(eV)_alk,smiles_alk,inchikey_alk,mol_alk,parent_rad,tm_freeh_HOMO(eV)_rad,tm_freeh_LUMO(eV)_rad,tm_freeh_HLgap(eV)_rad,smiles_rad,inchikey_rad,mol_rad,rad_br,rad_alk,C_tm_water_nmr_iso,C_tm_water_charge_mulliken,C_tm_water_charge_loewdin,C_tm_water_charge_paboon,C_tm_water_charge_fasm,C_tm_water_nucleophilic_mulliken,C_tm_water_nucleophilic_loewdin,C_tm_water_nucleophilic_paboon,C_tm_water_nucleophilic_fasm,C_tm_water_electrophilic_mulliken,C_tm_water_electrophilic_loewdin,C_tm_water_electrophilic_paboon,C_tm_water_electrophilic_fasm,C_tm_water_radical_mulliken,C_tm_water_radical_loewdin,C_tm_water_radical_paboon,C_tm_water_radical_fasm,Br_tm_water_nmr_iso,Br_tm_water_charge_mulliken,Br_tm_water_charge_loewdin,Br_tm_water_charge_paboon,Br_tm_water_charge_fasm,Br_tm_water_nucleophilic_mulliken,Br_tm_water_nucleophilic_loewdin,Br_tm_water_nucleophilic_paboon,Br_tm_water_nucleophilic_fasm,Br_tm_water_electrophilic_mulliken,Br_tm_water_electrophilic_loewdin,Br_tm_water_electrophilic_paboon,Br_tm_water_electrophilic_fasm,Br_tm_water_radical_mulliken,Br_tm_water_radical_loewdin,Br_tm_water_radical_paboon,Br_tm_water_radical_fasm
PMVKSBVKLOFUBH-YAQRNVERNA-N,-8.86036,0.56508,9.42544,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c(C([H])([H])Br)c1[H],PMVKSBVKLOFUBH-YAQRNVERNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7104d60>,PMVKSBVKLOFUBH,PMVKSBVKLOFUBH-YAQRNVERNA-N,-8.60577,1.51671,10.12248,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c(C([H])([H])[H])c1[H],JQILPGQUKRMVRC-YHMJCDSINA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7cad220>,PMVKSBVKLOFUBH-YAQRNVERNA-N,-7.04473,-0.50882,6.53591,[H][C]([H])c1c([H])c([H])c([H])c([H])c1C([H])([H])N([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],XHMMXYZOEVNVCV-YHMJCDSINA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf94122e0>,0.0273536875802165,0.022671636570066767,139.96693666,-0.22363,-0.25072,-0.1304,0.019907004,0.0384,0.084,0.122,0.0633,-0.0163,0.0015,-0.0014,0.0302,0.0111,0.0428,0.0603,0.0468,2109.42841509,-0.15883,-0.03235,-0.1007,-0.149965102,0.2455,0.2429,0.2053,0.235,0.1242,0.1175,0.1204,0.1307,0.1849,0.1802,0.1628,0.1829
POWXVFIRWRUILN-ZHLVXTBQNA-N,-8.34307,0.27442,8.61749,[H]c1c([H])c([H])c(-c2c([H])c([H])c(C([H])([H])Br)c([H])c2[H])c(C(=O)N([H])[H])c1[H],POWXVFIRWRUILN-ZHLVXTBQNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7104dc0>,POWXVFIRWRUILN,POWXVFIRWRUILN-ZHLVXTBQNA-N,-8.07162,0.74208,8.8137,[H]c1c([H])c([H])c(-c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])c(C(=O)N([H])[H])c1[H],IDXMMWSJDMRAMN-YHSKDTNENA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7cad160>,POWXVFIRWRUILN-ZHLVXTBQNA-N,-6.82686,-0.5924,6.23446,[H][C]([H])c1c([H])c([H])c(-c2c([H])c([H])c([H])c([H])c2C(=O)N([H])[H])c([H])c1[H],IKEAQFCORLBJEG-YHSKDTNENA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf9412340>,0.025009359670548292,0.02184057444003429,137.73085386,-0.20269,-0.24385,-0.1245,0.02143488,0.0256,0.0485,0.073,0.0361,-0.0007,0.0026,0.0022,0.018,0.0125,0.0256,0.0376,0.0271,2106.19172485,-0.17759,-0.04914,-0.122,-0.178101071,0.1586,0.1559,0.1299,0.1695,0.1067,0.1033,0.1045,0.1111,0.1327,0.1296,0.1172,0.1403
QEAJQJGPXFVEJA-YAQRNVERNA-N,-7.95557,0.31737,8.27294,[H]c1sc(N([H])C(=O)C([H])([H])Br)nc1-c1c([H])c([H])c(Cl)c([H])c1[H],QEAJQJGPXFVEJA-YAQRNVERNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7104e20>,QEAJQJGPXFVEJA,QEAJQJGPXFVEJA-YAQRNVERNA-N,-7.84251,0.45783,8.30034,[H]c1sc(N([H])C(=O)C([H])([H])[H])nc1-c1c([H])c([H])c(Cl)c([H])c1[H],SZMTXFIEJGDABF-NDKGDYFDNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7cad2e0>,QEAJQJGPXFVEJA-YAQRNVERNA-N,-7.78423,-1.85415,5.93008,[H][C]([H])C(=O)N([H])c1nc(-c2c([H])c([H])c(Cl)c([H])c2[H])c([H])s1,GJSJWWHUWOPXLJ-NDKGDYFDNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf9412460>,0.03532028303015977,0.035391609420116765,146.93853475,-0.22784,-0.30003,-0.1832,0.04520838,-0.0025,0.006,-0.0004,0.0182,-0.001,0.0022,-0.0015,0.0104,-0.0018,0.0041,-0.001,0.0143,2356.46442469,-0.11411,0.03531,-0.0564,-0.066022745,0.0353,0.0316,0.0264,0.0459,0.0189,0.0164,0.0141,0.0283,0.0271,0.024,0.0203,0.0371
QIPFGFYXERNTNP-UHFFFAOYNA-N,-9.60586,1.87459,11.48046,[H]C([H])(Br)C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],QIPFGFYXERNTNP-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7104e80>,QIPFGFYXERNTNP,QIPFGFYXERNTNP-UHFFFAOYNA-N,-9.66519,2.40341,12.06861,[H]C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],VZWGRQBCURJOMT-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7cad1c0>,QIPFGFYXERNTNP-UHFFFAOYNA-N,-9.24127,-1.24599,7.99528,[H][C]([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],NCHMQTCTBAHGJF-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf94123a0>,0.031902598370379565,0.035727315190115405,148.28997536,-0.25261,-0.30955,-0.1785,0.039804836,-0.0037,0.1157,0.1479,0.0941,-0.0012,0.0205,0.0056,0.0394,-0.0025,0.0681,0.0768,0.0667,2349.67372916,-0.12393,0.00638,-0.0494,-0.143398735,0.3138,0.2989,0.2381,0.33,0.261,0.2602,0.2649,0.2401,0.2874,0.2796,0.2515,0.2851
QKVHAKICMNABGB-UHFFFAOYNA-N,-9.4712,-0.57104,8.90016,[H]c1c([H])c([H])c2c(c1[H])C(=O)N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])Br)C2=O,QKVHAKICMNABGB-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7104ee0>,QKVHAKICMNABGB,QKVHAKICMNABGB-UHFFFAOYNA-N,-9.45415,-0.58246,8.87168,[H]c1c([H])c([H])c2c(c1[H])C(=O)N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C2=O,SRFRJCMUBGZTAP-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7cad340>,QKVHAKICMNABGB-UHFFFAOYNA-N,-7.67648,-0.58741,7.08906,[H][C]([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N1C(=O)c2c([H])c([H])c([H])c([H])c2C1=O,SWOOSOQPGQYQSW-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf94124c0>,0.047142657360382145,0.041241062760036584,137.8890915,-0.24191,-0.26302,-0.0888,0.021704869,-0.0027,-0.0002,0.0,0.0025,-0.0189,0.0099,0.0015,0.0251,-0.0108,0.0048,0.0008,0.0138,2424.92832475,-0.18177,-0.04246,-0.1172,-0.161096489,0.0026,0.0018,0.0027,0.0147,0.2128,0.2155,0.221,0.1933,0.1077,0.1087,0.1119,0.104
QORBTFMANPEXFJ-UHFFFAOYNA-N,-9.80304,-0.56712,9.23591,[H]c1c(F)c(C([H])([H])Br)c(C(F)(F)F)c([H])c1C(F)(F)F,QORBTFMANPEXFJ-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7104f40>,QORBTFMANPEXFJ,QORBTFMANPEXFJ-UHFFFAOYNA-N,-9.68144,0.03665,9.71809,[H]c1c(F)c(C([H])([H])[H])c(C(F)(F)F)c([H])c1C(F)(F)F,IXBCYDCKRAIERD-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7cad280>,QORBTFMANPEXFJ-UHFFFAOYNA-N,-8.14992,-1.7194,6.43052,[H][C]([H])c1c(F)c([H])c(C(F)(F)F)c([H])c1C(F)(F)F,WKIXCGSICZTCOP-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf9412520>,0.022229548880204675,0.023961111529956725,150.20431025,-0.19715,-0.26003,-0.1302,0.033909769,0.0217,0.0489,0.0698,0.0462,-0.0082,0.0106,0.0037,0.0341,0.0067,0.0297,0.0368,0.0402,2109.00754657,-0.1249,-0.00233,-0.069,-0.121835757,0.2032,0.196,0.1707,0.2066,0.3156,0.3123,0.319,0.2875,0.2594,0.2541,0.2449,0.247
QQHZAARABFGGBY-WYUMXYHSNA-N,-8.45392,0.09323,8.54716,[H]OC(=O)c1c([H])c([H])c([H])c([H])c1-c1c([H])c([H])c(C([H])([H])Br)c([H])c1[H],QQHZAARABFGGBY-WYUMXYHSNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7104fa0>,QQHZAARABFGGBY,QQHZAARABFGGBY-WYUMXYHSNA-N,-8.17959,0.39946,8.57905,[H]OC(=O)c1c([H])c([H])c([H])c([H])c1-c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],ZSTUEICKYWFYIC-YAQRNVERNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7cad460>,QQHZAARABFGGBY-WYUMXYHSNA-N,-6.89609,-0.64891,6.24718,[H]OC(=O)c1c([H])c([H])c([H])c([H])c1-c1c([H])c([H])c([C]([H])[H])c([H])c1[H],TVUZYEZHHWNMOT-YAQRNVERNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf9412640>,0.025088122890338127,0.021966409740002746,138.03702355,-0.20168,-0.24396,-0.1243,0.02145376,0.0189,0.0352,0.0545,0.0275,-0.001,0.0031,0.0018,0.0219,0.0089,0.0192,0.0281,0.0247,2104.6898198,-0.17737,-0.04868,-0.122,-0.177638721,0.1189,0.1167,0.0974,0.1277,0.1305,0.1263,0.1274,0.1355,0.1247,0.1215,0.1124,0.1316
QQLXPUHVMNANLN-UHFFFAOYNA-N,-9.23954,1.85831,11.09785,[H]C([H])([H])C(OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])Br)(C([H])([H])[H])C([H])([H])[H],QQLXPUHVMNANLN-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7106040>,QQLXPUHVMNANLN,QQLXPUHVMNANLN-UHFFFAOYNA-N,-9.30619,2.42204,11.72824,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],IZUZIVIUDTZPFE-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7cad3a0>,QQLXPUHVMNANLN-UHFFFAOYNA-N,-7.70008,0.77967,8.47974,[H][C]([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],CDTRMZXZSWCRCH-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf9412580>,0.048918487340415595,0.04176667795002231,134.21833426,-0.21496,-0.25895,-0.0712,0.020529891,0.0283,0.1439,0.1686,0.0722,-0.0106,0.0153,0.0078,0.0273,0.0088,0.0796,0.0882,0.0497,2371.9579568,-0.17409,-0.03698,-0.1065,-0.149123209,0.2747,0.2751,0.2108,0.2678,0.2473,0.2541,0.2613,0.2154,0.261,0.2646,0.2361,0.2416
RFBNGWPBQUOUNT-UHFFFAOYNA-N,-7.97977,-0.38135,7.59841,[H]c1c([H])c2c3c(c([H])c([H])c([H])c3c1[H])S(=O)(=O)N2C([H])([H])C([H])([H])Br,RFBNGWPBQUOUNT-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf71060a0>,RFBNGWPBQUOUNT,RFBNGWPBQUOUNT-UHFFFAOYNA-N,-7.86703,-0.305,7.56203,[H]c1c([H])c2c3c(c([H])c([H])c([H])c3c1[H])S(=O)(=O)N2C([H])([H])C([H])([H])[H],FMQSQMHNQGKEMO-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7cad520>,RFBNGWPBQUOUNT-UHFFFAOYNA-N,-7.89897,-0.31584,7.58313,[H][C]([H])C([H])([H])N1c2c([H])c([H])c([H])c3c([H])c([H])c([H])c(c23)S1(=O)=O,WSJUQXHEUGDSTJ-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf9412fa0>,0.04680804772033298,0.043942337380144636,137.38500079,-0.2282,-0.2812,-0.1167,0.038762894,-0.0032,0.0013,0.0013,0.0081,-0.0077,0.0053,0.0021,0.0177,-0.0054,0.0033,0.0017,0.0129,2349.8257589,-0.15039,-0.01357,-0.1021,-0.132484483,0.0113,0.009,0.008,0.0262,0.0416,0.0363,0.0358,0.0643,0.0265,0.0226,0.0219,0.0452
ROIXSNLOYHDYBP-UHFFFAOYNA-N,-8.72074,0.59975,9.32049,[H]c1c([H])c([H])c(C([H])([H])Br)c(B2OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O2)c1[H],ROIXSNLOYHDYBP-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7106100>,ROIXSNLOYHDYBP,ROIXSNLOYHDYBP-UHFFFAOYNA-N,-8.42997,1.1896,9.61957,[H]c1c([H])c([H])c(C([H])([H])[H])c(B2OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O2)c1[H],NUFSJKMRPYGNHV-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7cad400>,ROIXSNLOYHDYBP-UHFFFAOYNA-N,-6.86417,-0.39152,6.47264,[H][C]([H])c1c([H])c([H])c([H])c([H])c1B1OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O1,YQDCEAXBAAOPSE-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf9412f40>,0.027408290740368102,0.02166952852007853,137.12492693,-0.2138,-0.2467,-0.1281,0.018316701,0.0181,0.063,0.0938,0.0497,-0.0123,0.0058,0.0019,0.0279,0.0029,0.0344,0.0478,0.0388,2097.68385779,-0.17256,-0.03989,-0.1078,-0.169628778,0.2042,0.1969,0.1609,0.2159,0.1994,0.1957,0.1982,0.197,0.2018,0.1963,0.1795,0.2065
RWEKWRQKAHQYNE-UHFFFAOYNA-N,-9.50948,2.11581,11.62529,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])Br)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],RWEKWRQKAHQYNE-INIZCTEONA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7106160>,RWEKWRQKAHQYNE,RWEKWRQKAHQYNE-UHFFFAOYNA-N,-10.0247,3.61376,13.63846,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],MOKGOCMIDWMCHO-INIZCTEONA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7cad580>,RWEKWRQKAHQYNE-UHFFFAOYNA-N,-7.66988,0.63878,8.30866,[H][C]([H])[C@@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],XFGHOYZXXKXSGV-INIZCTEONA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf9412e20>,0.04863502761054406,0.04133438226006092,134.90704475,-0.22079,-0.25396,-0.0792,0.016284806,0.018,0.2258,0.2358,0.1043,-0.0289,0.0114,-0.001,0.0341,-0.0055,0.1186,0.1174,0.0692,2566.6204729,-0.18151,-0.04097,-0.106,-0.169805877,0.463,0.4595,0.3796,0.4616,0.28,0.2802,0.287,0.2525,0.3715,0.3698,0.3333,0.3571
SJBKLFYWXYFAGT-UHFFFAOYNA-N,-9.05058,-0.82243,8.22815,[H]c1c(C([H])([H])Br)c([H])c2c(Cl)c([H])c(C(F)(F)F)nc2c1[H],SJBKLFYWXYFAGT-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf71061c0>,SJBKLFYWXYFAGT,SJBKLFYWXYFAGT-UHFFFAOYNA-N,-8.78813,-0.52899,8.25915,[H]c1c(C([H])([H])[H])c([H])c2c(Cl)c([H])c(C(F)(F)F)nc2c1[H],ZLSXNETUGWRDSH-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7cad4c0>,SJBKLFYWXYFAGT-UHFFFAOYNA-N,-7.64509,-1.47708,6.16801,[H][C]([H])c1c([H])c([H])c2nc(C(F)(F)F)c([H])c(Cl)c2c1[H],DYWSFMNMYXCXDP-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf9412ee0>,0.022237124180719547,0.021623798140012696,139.03841628,-0.20056,-0.24597,-0.1256,0.02705996,0.0104,0.0183,0.0299,0.025,-0.0028,0.0041,0.0026,0.0221,0.0038,0.0112,0.0163,0.0235,2097.24315906,-0.15293,-0.02311,-0.0975,-0.149367249,0.0974,0.0938,0.0825,0.1112,0.1503,0.1459,0.1481,0.1524,0.1239,0.1199,0.1153,0.1318
SQJTVQSZFVOIQV-UHFFFAOYNA-N,-8.27744,2.01693,10.29436,[H]C([H])([H])C(OC(=O)N1C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])C([H])([H])Br)C([H])([H])C1([H])[H])(C([H])([H])[H])C([H])([H])[H],SQJTVQSZFVOIQV-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7106220>,SQJTVQSZFVOIQV,SQJTVQSZFVOIQV-UHFFFAOYNA-N,-8.06871,3.26495,11.33367,[H]C([H])([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])N(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H],ZRCRMBCVWFMYCO-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7cad6a0>,SQJTVQSZFVOIQV-UHFFFAOYNA-N,-7.61234,0.80258,8.41492,[H][C]([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])N(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H],FSGUSYHFBHQICL-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf9412dc0>,0.04822156686032031,0.04167283857009352,138.83575406,-0.22289,-0.26191,-0.0749,0.017848064,-0.0147,0.1917,0.2026,0.1078,-0.0138,0.0012,-0.0015,0.0214,-0.0143,0.0964,0.1006,0.0646,2413.59211524,-0.18846,-0.04619,-0.1119,-0.181654468,0.3911,0.373,0.2956,0.3969,0.039,0.0319,0.0319,0.0568,0.215,0.2024,0.1637,0.2268
TXQUSDPQTQXELO-SFYZADRCNA-N,-8.89338,1.52853,10.42192,[H]C([H])([H])OC(=O)[C@@]1([H])N(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[C@]([H])(Br)C1([H])[H],TXQUSDPQTQXELO-SFYZADRCNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7106280>,TXQUSDPQTQXELO,TXQUSDPQTQXELO-SFYZADRCNA-N,-8.68074,2.48371,11.16445,[H]C([H])([H])OC(=O)[C@@]1([H])N(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H],WVDGSSCWFMSRHN-QMMMGPOBNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7cad5e0>,TXQUSDPQTQXELO-SFYZADRCNA-N,-7.62291,0.56879,8.1917,[H][C]1C([H])([H])N(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[C@]([H])(C(=O)OC([H])([H])[H])C1([H])[H],DJRMKNIBOIHHNP-QMMMGPOBNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf9412e80>,0.040295786790011334,0.03490142864006884,118.06141107,-0.26098,-0.17267,-0.0139,0.019423132,-0.002,0.1348,0.1278,0.0316,-0.0156,0.0062,-0.0014,0.0172,-0.0088,0.0705,0.0632,0.0244,2137.99833657,-0.12965,-0.0156,-0.0832,-0.140294348,0.3463,0.3185,0.2662,0.3373,0.1701,0.1578,0.1622,0.1794,0.2582,0.2381,0.2142,0.2584
UJQIDMWXPJOIFS-UHFFFAOYNA-N,-8.69393,-0.16277,8.53116,[H]c1c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c([H])c1C([H])([H])Br,UJQIDMWXPJOIFS-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7106340>,UJQIDMWXPJOIFS,UJQIDMWXPJOIFS-UHFFFAOYNA-N,-8.55647,0.56444,9.1209,[H]c1c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c([H])c1C([H])([H])[H],NBTTYMBZXDHFCP-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7cad700>,UJQIDMWXPJOIFS-UHFFFAOYNA-N,-7.72252,-1.28813,6.43439,[H][C]([H])c1c([H])c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c1[H],QXBYDUWHHVAUDE-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf9412d00>,0.02404098449005687,0.022740293270203438,139.9522292,-0.20356,-0.2469,-0.1188,0.02686247,0.0307,0.0551,0.0808,0.0466,-0.0005,0.0016,0.0011,0.0089,0.0151,0.0284,0.041,0.0277,2097.90603851,-0.15422,-0.02465,-0.0922,-0.151858075,0.1971,0.1938,0.1638,0.2128,0.0555,0.0539,0.0546,0.0573,0.1263,0.1238,0.1092,0.1351
ULEXNOLNRVYFCH-UHFFFAOYNA-N,-8.3304,0.68403,9.01443,[H]c1c([H])c([H])c(C([H])([H])Br)c(OC([H])([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c1[H],ULEXNOLNRVYFCH-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf71063a0>,ULEXNOLNRVYFCH,ULEXNOLNRVYFCH-UHFFFAOYNA-N,-8.03224,1.63564,9.66789,[H]c1c([H])c([H])c(C([H])([H])[H])c(OC([H])([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c1[H],SMOCPEPOJODLKX-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7cad640>,ULEXNOLNRVYFCH-UHFFFAOYNA-N,-6.76483,-0.31838,6.44645,[H][C]([H])c1c([H])c([H])c([H])c([H])c1OC([H])([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],YDQZVWUOXYTBRZ-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf9412d60>,0.025610020310523396,0.022985462480050955,140.86394104,-0.17948,-0.2425,-0.1025,0.01482729,0.0381,0.0818,0.1201,0.0528,-0.0053,-0.0011,-0.0054,0.025,0.0164,0.0404,0.0573,0.0389,2169.40152678,-0.18798,-0.05912,-0.1227,-0.196763546,0.247,0.242,0.1989,0.2583,0.1092,0.1011,0.1028,0.1239,0.1781,0.1715,0.1508,0.1911
URHLNHVYMNBPEO-YAQRNVERNA-N,-7.90917,1.3361,9.24527,[H]c1c([H])c2c(c([H])c1OC([H])([H])C([H])([H])C([H])([H])C([H])([H])Br)N([H])C(=O)C([H])([H])C2([H])[H],URHLNHVYMNBPEO-YAQRNVERNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7106400>,URHLNHVYMNBPEO,URHLNHVYMNBPEO-YAQRNVERNA-N,-7.88248,1.34811,9.23059,[H]c1c([H])c2c(c([H])c1OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])N([H])C(=O)C([H])([H])C2([H])[H],FEZZVLMWQRWSOO-YHMJCDSINA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf7cad820>,URHLNHVYMNBPEO-YAQRNVERNA-N,-7.85595,0.62923,8.48518,[H][C]([H])C([H])([H])C([H])([H])C([H])([H])Oc1c([H])c([H])c2c(c1[H])N([H])C(=O)C([H])([H])C2([H])[H],BZVIFEFFMODMTI-YHMJCDSINA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf9412c40>,0.046645684180475655,0.0421454901601237,135.48771617,-0.21207,-0.2589,-0.0776,0.021338376,0.0157,0.0476,0.0784,0.0243,-0.0002,0.0007,0.0012,0.0037,0.0077,0.0241,0.0398,0.014,2380.90811613,-0.18157,-0.04214,-0.1168,-0.172988776,0.0993,0.099,0.0595,0.1084,0.0062,0.0052,0.0053,0.0163,0.0528,0.0521,0.0324,0.0624
